Image,SSBI,Rainfall
clody_2.jpg,-0.8583,0
cloudy1.jpg,-0.9084,0
cloudy10.jpg,-0.2947,0
cloudy102.jpg,-0.5484,0
cloudy103.jpg,-0.5849,0
cloudy104.jpg,-0.6808,0
cloudy105.jpg,-0.6217,0
cloudy106.jpg,-0.5712,0
cloudy108.jpg,0.0284,0
cloudy11.jpg,-0.5584,0
cloudy115.jpg,-0.5221,0
cloudy118.jpg,-0.3795,0
cloudy119.jpg,-0.5721,0
cloudy12.jpg,-0.5033,0
cloudy120.jpg,0.0573,0
cloudy122.jpg,-0.2827,0
cloudy124.jpg,0.0402,0
cloudy125.jpg,0.0527,0
cloudy129.jpg,0.0345,0
cloudy13.jpg,-0.5443,0
cloudy130.jpg,0.0264,0
cloudy133.jpg,-0.2719,0
cloudy135.jpg,0.0273,0
cloudy136.jpg,-0.8401,0
cloudy137.jpg,-0.9221,0
cloudy138.jpg,-0.8811,0
cloudy139.jpg,-0.9084,0
cloudy14.jpg,-0.6936,0
cloudy147.jpg,-0.6667,0
cloudy148.jpg,-0.5397,0
cloudy149.jpg,-0.6394,0
cloudy15.jpg,-0.5949,0
cloudy150.jpg,-0.7166,0
cloudy151.jpg,0.0283,0
cloudy153.jpg,-0.5031,0
cloudy154.jpg,-0.4586,0
cloudy155.jpg,-0.4176,0
cloudy156.jpg,-0.4522,0
cloudy157.jpg,0.2915,0
cloudy158.jpg,-0.5169,0
cloudy16.jpg,-0.2976,0
cloudy160.jpg,-0.5215,0
cloudy161.jpg,-0.5177,0
cloudy163.jpg,-0.7081,0
cloudy164.jpg,-0.5442,0
cloudy165.jpg,-0.2439,0
cloudy167.jpg,-0.7081,0
cloudy17.jpg,-0.2667,0
cloudy171.jpg,-0.2592,0
cloudy173.jpg,-0.2892,0
cloudy174.jpg,-0.4923,0
cloudy176.jpg,-0.7172,0
cloudy177.jpg,-0.7901,0
cloudy178.jpg,-0.7036,0
cloudy179.jpg,-0.7218,0
cloudy18.jpg,-0.7263,0
cloudy182.jpg,0.01,0
cloudy184.jpg,-0.3486,0
cloudy185.jpg,-0.6899,0
cloudy186.jpg,-0.7946,0
cloudy187.jpg,-0.872,0
cloudy19.jpg,-0.2803,0
cloudy190.jpg,-0.3939,0
cloudy191.jpg,-0.5751,0
cloudy192.jpg,-0.4585,0
cloudy195.jpg,-0.5969,0
cloudy196.jpg,-0.6854,0
cloudy197.jpg,-0.2438,0
cloudy198.jpg,-0.7081,0
cloudy199.jpg,-0.8811,0
cloudy2.jpg,-0.2838,0
cloudy20.jpg,-0.5576,0
cloudy200.jpg,-0.6308,0
cloudy201.jpg,-0.3777,0
cloudy202.jpg,-0.5149,0
cloudy203.jpg,-0.5716,0
cloudy204.jpg,-0.6945,0
cloudy206.jpg,-0.5105,0
cloudy207.jpg,-0.5625,0
cloudy208.jpg,-0.7036,0
cloudy21.jpg,-0.5067,0
cloudy210.jpg,-0.608,0
cloudy211.jpg,-0.7946,0
cloudy212.jpg,-0.4969,0
cloudy217.jpg,0.4003,0
cloudy22.jpg,0.5985,0
cloudy220.jpg,-0.5177,0
cloudy221.jpg,-0.5396,0
cloudy226.jpg,-0.5114,0
cloudy228.jpg,-0.5084,0
cloudy229.jpg,-0.5115,0
cloudy23.jpg,-0.2883,0
cloudy230.jpg,-0.2937,0
cloudy231.jpg,-0.8993,0
cloudy235.jpg,-0.5214,0
cloudy236.jpg,-0.5724,0
cloudy238.jpg,-0.7263,0
cloudy239.jpg,-0.7491,0
cloudy240.jpg,-0.5716,0
cloudy241.jpg,-0.5133,0
cloudy243.jpg,-0.5079,0
cloudy244.jpg,-0.5524,0
cloudy245.jpg,-0.515,0
cloudy246.jpg,-0.4506,0
